번호,용도지역,건폐율_값,건폐율_단위,건폐율_출처,용적률_값,용적률_단위,용적률_출처,시행일,조회일,조회경로,비고
1,제1종 전용주거지역,50,퍼센트 이하,화성시 도시계획 조례 제52조제1항제1호,80,퍼센트 이하,화성시 도시계획 조례 제57조제1항제1호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,용적률 제57조제3항: 임대주택은 본값의 120% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
2,제2종 전용주거지역,50,퍼센트 이하,화성시 도시계획 조례 제52조제1항제2호,120,퍼센트 이하,화성시 도시계획 조례 제57조제1항제2호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,용적률 제57조제3항: 임대주택은 본값의 120% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
3,제1종 일반주거지역,60,퍼센트 이하,화성시 도시계획 조례 제52조제1항제3호,180,퍼센트 이하,화성시 도시계획 조례 제57조제1항제3호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,용적률 제57조제3항: 임대주택은 본값의 120% 이하 / 건폐율 제52조제2항·용적률 제57조제8항: 전통시장(일반주거) 건폐율 70% 이하·용적률 500% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
4,제2종 일반주거지역,60,퍼센트 이하,화성시 도시계획 조례 제52조제1항제4호,250,퍼센트 이하,화성시 도시계획 조례 제57조제1항제4호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,용적률 제57조제3항: 임대주택은 본값의 120% 이하 / 건폐율 제52조제2항·용적률 제57조제8항: 전통시장(일반주거) 건폐율 70% 이하·용적률 500% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
5,제3종 일반주거지역,50,퍼센트 이하,화성시 도시계획 조례 제52조제1항제5호,270,퍼센트 이하,화성시 도시계획 조례 제57조제1항제5호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,용적률 제57조제3항: 임대주택은 본값의 120% 이하 / 건폐율 제52조제2항·용적률 제57조제8항: 전통시장(일반주거) 건폐율 70% 이하·용적률 500% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
6,준주거지역,70,퍼센트 이하,화성시 도시계획 조례 제52조제1항제6호,400,퍼센트 이하,화성시 도시계획 조례 제57조제1항제6호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,용적률 제57조제3항: 임대주택은 본값의 120% 이하 / 건폐율 제52조제2항·용적률 제57조제8항: 전통시장 건폐율 70% 이하·용적률 500% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
7,중심상업지역,80,퍼센트 이하,화성시 도시계획 조례 제52조제1항제7호,1000,퍼센트 이하,화성시 도시계획 조례 제57조제1항제7호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,건폐율 제52조제2항: 전통시장(상업) 90% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
8,일반상업지역,80,퍼센트 이하,화성시 도시계획 조례 제52조제1항제8호,800,퍼센트 이하,화성시 도시계획 조례 제57조제1항제8호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,건폐율 제52조제2항: 전통시장(상업) 90% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
9,근린상업지역,70,퍼센트 이하,화성시 도시계획 조례 제52조제1항제9호,400,퍼센트 이하,화성시 도시계획 조례 제57조제1항제9호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,건폐율 제52조제2항: 전통시장(상업) 90% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
10,유통상업지역,70,퍼센트 이하,화성시 도시계획 조례 제52조제1항제10호,400,퍼센트 이하,화성시 도시계획 조례 제57조제1항제10호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,건폐율 제52조제2항: 전통시장(상업) 90% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
11,전용공업지역,70,퍼센트 이하,화성시 도시계획 조례 제52조제1항제11호,300,퍼센트 이하,화성시 도시계획 조례 제57조제1항제11호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,제57조제6항: 방재지구 재해예방시설 120% 이하
12,일반공업지역,70,퍼센트 이하,화성시 도시계획 조례 제52조제1항제12호,350,퍼센트 이하,화성시 도시계획 조례 제57조제1항제12호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,제57조제6항: 방재지구 재해예방시설 120% 이하
13,준공업지역,70,퍼센트 이하,화성시 도시계획 조례 제52조제1항제13호,400,퍼센트 이하,화성시 도시계획 조례 제57조제1항제13호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,건폐율 제52조제2항·용적률 제57조제8항: 전통시장 건폐율 70% 이하·용적률 400% 이하 / 제57조제6항: 방재지구 재해예방시설 120% 이하
14,보전녹지지역,20,퍼센트 이하,화성시 도시계획 조례 제52조제1항제14호,70,퍼센트 이하,화성시 도시계획 조례 제57조제1항제14호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,용적률 제57조제7항: 도시관리계획 기반시설은 위원회 심의로 영 제85조 최대한도 적용 가능
15,생산녹지지역,20,퍼센트 이하,화성시 도시계획 조례 제52조제1항제15호,80,퍼센트 이하,화성시 도시계획 조례 제57조제1항제15호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,용적률 제57조제7항: 도시관리계획 기반시설은 위원회 심의로 영 제85조 최대한도 적용 가능
16,자연녹지지역,20,퍼센트 이하,화성시 도시계획 조례 제52조제1항제16호,100,퍼센트 이하,화성시 도시계획 조례 제57조제1항제16호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,건폐율 제52조제1항제16호 단서: 유원지 30% 이하·공원 20% 이하·기존 창고/연구소 증축 40% 범위
17,보전관리지역,20,퍼센트 이하,화성시 도시계획 조례 제52조제1항제17호,80,퍼센트 이하,화성시 도시계획 조례 제57조제1항제17호,2026-03-10,2026-09-21,korean-law-mcp 4.13.1 get_ordinance (CLI 실행) · law.go.kr API 대조 일치,용적률 제57조제7항: 도시관리계획 기반시설은 위원회 심의로 영 제85조 최대한도 적용 가능
